Plot,meanElev
5,587.3424658
10,601.5540541
15,747.9583333
49,654.5694444
54,460.375
61,619.9452055
66,657.3611111
74,838.5945946
95,506.375
101,782
107,862.7432432
124,596.8219178
129,629.915493
134,756.2837838
138,544
144,649.9305556
149,773.6388889
184,788
189,686.8194444
195,599.890411
201,542.6478873
206,622.1805556
211,818.875
254,775.1944444
260,676.8055556
265,600.7297297
270,659.7260274
309,501.7162162
316,472.4520548
328,634.7260274
334,403.8970588
346,364.5753425
351,274.2222222
368,607.0138889
374,486.5492958
386,355.8055556
391,464.8055556
396,247.3142857
400,341.7746479
WS1,613
